[МЕНЕДЖЕР | 00:00-00:02]: Алло, компания Ромашка, Андрей, здравствуйте.
[КЛИЕНТ | 00:03-00:07]: Здравствуйте. Я по поводу насоса НС-200, вы такие поставляете?
[МЕНЕДЖЕР | 00:08-00:12]: Да, поставляем, он у нас есть на складе.
[КЛИЕНТ | 00:13-00:18]: А сроки какие? Мне нужно было ещё на прошлой неделе.
[МЕНЕДЖЕР | 00:19-00:23]: Отгрузка в течение трёх рабочих дней с момента оплаты.
[КЛИЕНТ | 00:24-00:28]: Три дня это долго. У других я видела быстрее.
[МЕНЕДЖЕР | 00:29-00:31]: Понимаю вас.
[КЛИЕНТ | 00:32-00:35]: И по цене хотелось бы понятнее.
[МЕНЕДЖЕР | 00:36-00:40]: Цену я вам скажу после уточнения у склада.
[КЛИЕНТ | 00:41-00:43]: Понятно.
[МЕНЕДЖЕР | 00:44-00:46]: Хорошо.
[КЛИЕНТ | 00:47-00:50]: Ну ладно, я тогда пока подумаю.
[МЕНЕДЖЕР | 00:51-00:53]: Да, конечно.
[КЛИЕНТ | 00:54-00:56]: До свидания.
[МЕНЕДЖЕР | 00:57-00:59]: До свидания.
