[МЕНЕДЖЕР | 00:00-00:02]: Алло, компания Ромашка, Андрей, здравствуйте.
[КЛИЕНТ | 00:03-00:07]: Здравствуйте. Мне нужен насос НС-200, вы такие поставляете?
[МЕНЕДЖЕР | 00:08-00:14]: Поставляем. Подскажите, под какую задачу подбираете и на какой объём рассчитываете?
[КЛИЕНТ | 00:15-00:19]: Нужен на котельную, объект небольшой, один контур.
[МЕНЕДЖЕР | 00:20-00:26]: Понял. А к какой дате он нужен у вас на объекте?
[КЛИЕНТ | 00:27-00:32]: Хотелось бы к концу месяца, но чем раньше, тем лучше.
[МЕНЕДЖЕР | 00:33-00:39]: Насос НС-200 у нас на складе, цена двести сорок тысяч рублей с НДС.
[КЛИЕНТ | 00:40-00:44]: Двести сорок тысяч это дороже, чем я рассчитывала.
[МЕНЕДЖЕР | 00:45-00:54]: Понимаю. В эту цену входит гарантия два года и шеф-монтаж, отдельно они обошлись бы дороже примерно на треть.
[КЛИЕНТ | 00:55-00:59]: Ладно, с этим понятно, так уже нормально.
[МЕНЕДЖЕР | 01:00-01:04]: Отгрузка стандартно три рабочих дня с момента оплаты.
[КЛИЕНТ | 01:05-01:09]: Три дня это долго, у других я видела быстрее.
[МЕНЕДЖЕР | 01:10-01:18]: Могу зарезервировать насос за вами сегодня и поставить отгрузку первым рейсом, тогда получится за сутки после оплаты.
[КЛИЕНТ | 01:19-01:21]: Вот это подходит.
[МЕНЕДЖЕР | 01:22-01:30]: Тогда давайте так: сегодня я выставляю счёт, а завтра в десять созвонимся и подтвердим оплату.
[КЛИЕНТ | 01:31-01:35]: Да, договорились, завтра в десять, счёт жду сегодня.
[МЕНЕДЖЕР | 01:36-01:40]: Отправлю в течение часа. Спасибо, до свидания.
[КЛИЕНТ | 01:41-01:43]: До свидания.
